model,step,loss,grad_norm,data_s,samples_per_s
envA,100,9.849,205.612,0.484,11
envA,200,3.895,100.022,0.417,16
envA,300,3.311,85.982,0.424,16
envA,400,3.031,79.192,0.424,16
envA,500,2.818,74.688,0.428,16
envA,600,2.676,70.889,0.354,19
envA,700,2.554,69.225,0.429,16
envA,800,2.46,64.877,0.443,15
envA,900,2.333,64.225,0.446,15
envA,1000,2.25,62.439,0.444,15
envABC,100,9.942,207.4,0.662,11
envABC,200,3.877,99.011,0.603,12
envABC,300,3.358,86.718,0.611,12
envABC,400,3.034,79.023,0.608,12
envABC,500,2.819,74.67,0.598,12
envABC,600,2.655,71.061,0.726,10
envABC,700,2.568,69.799,0.592,12
envABC,800,2.459,65.398,0.602,12
envABC,900,2.357,64.703,0.566,12
envABC,1000,2.269,62.254,0.572,12
